policy,seed,sharpe,maxdd,is_bps,auc,adv_pnl,net_leakage,status,timestamp
uniform_policy,47,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:08:56.734740
uniform_policy,48,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:05.128083
uniform_policy,49,0.268564,-0.131648,16.2499,0.692625,,,ok,2026-03-11T19:09:13.536727
pink,0,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:09:21.675210
pink,1,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:09:30.159041
pink,2,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:09:38.685392
pink,3,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:09:47.210937
pink,4,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:09:55.539577
pink,5,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:03.605224
pink,6,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:11.178062
pink,7,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:19.509746
pink,8,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:27.572898
pink,9,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:35.617742
pink,10,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:43.722689
pink,11,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:51.124840
pink,12,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:58.499955
pink,13,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:06.273975
pink,14,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:14.040311
pink,15,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:22.164116
pink,16,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:30.321366
pink,17,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:38.264717
pink,18,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:47.139677
pink,19,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:11.533265
pink,20,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:19.852213
pink,21,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:28.093867
pink,22,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:36.215327
pink,23,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:44.497878
pink,24,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:51.940429
pink,25,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:10:59.547336
pink,26,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:07.221390
pink,27,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:14.934637
pink,28,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:22.947849
pink,29,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:30.908531
pink,30,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:39.188429
pink,31,0.266573,-0.13208,16.4678,0.697511,,,ok,2026-03-11T19:11:47.616980
